A/NorthDakota/21/2017,A/NorthDakota/21/2017,A/NorthDakota/21/2017
ARGNode_ZSEfCrLe,NODE_28,RESOLVED_6
ARGNode_KX4y648s,NODE_32,NODE_17
ARGNode_BkV1b2Z4, ,NODE_27
A/SouthAustralia/57/2017,A/SouthAustralia/57/2017,A/SouthAustralia/57/2017
A/Tanzania/744/2017,A/Tanzania/744/2017,A/Tanzania/744/2017
A/Honduras/482/2017,A/Honduras/482/2017,A/Honduras/482/2017
ARGNode_TuCBuAEO, , 
ARGNode_eOJ8vNWf,RESOLVED_5,NODE_9
ARGNode_Jetyy9Vc,NODE_27,NODE_16
ARGNode_cC4niJs2, , 
A/Ecuador/1120/2017,A/Ecuador/1120/2017,A/Ecuador/1120/2017
A/SouthAfrica/VW255uctLAB303/2017,A/SouthAfrica/VW255uctLAB303/2017,A/SouthAfrica/VW255uctLAB303/2017
ARGNode_PN2YlTnK,Singleton_xts7h6ty,NODE_21
ARGNode_k1e8IZMG,NODE_49,Singleton_Ljx2CpkE
ARGNode_aC55JPwy,NODE_24,NODE_13
ARGNode_TuJyT4dT,NODE_20,NODE_35
ARGNode_N84Ty0Qp,NODE_13,NODE_31
A/Moramanga/1907/2017,A/Moramanga/1907/2017,A/Moramanga/1907/2017
A/SouthAustralia/238/2017,A/SouthAustralia/238/2017,A/SouthAustralia/238/2017
A/Louisiana/48/2017,A/Louisiana/48/2017,A/Louisiana/48/2017
ARGNode_XKHRJFmL,NODE_14,RESOLVED_7
ARGNode_c6p1Zmri, , 
ARGNode_uaNz052m,Singleton_MRglmHdm,NODE_3
ARGNode_lz6ICyqk,RESOLVED_9,NODE_2
A/SouthAfrica/R07380/2017,A/SouthAfrica/R07380/2017,A/SouthAfrica/R07380/2017
ARGNode_HKclZvEJ,NODE_35,RESOLVED_1
ARGNode_9B1VTqu5,Singleton_QsI7Ewgi,NODE_19
ARGNode_QMZAmfVV,RESOLVED_1,NODE_25
ARGNode_CUN2fonb,RESOLVED_8,NODE_28
ARGNode_7ZoeOJFn,NODE_46,Singleton_6jQYFbJ5
A/Victoria/54/2017,A/Victoria/54/2017,A/Victoria/54/2017
A/Qatar/47-VI-17-0020310/2017,A/Qatar/47-VI-17-0020310/2017,A/Qatar/47-VI-17-0020310/2017
ARGNode_ILRob7k4,NODE_34,Singleton_IHfadSff
ARGNode_RzJHoUEw,Singleton_FPqb2WJg,NODE_29
ARGNode_D80bh3o4,NODE_19,NODE_34
A/HongKong/3088/2017,A/HongKong/3088/2017,A/HongKong/3088/2017
A/Alaska/16/2017,A/Alaska/16/2017,A/Alaska/16/2017
A/NewBrunswick/RV1342/2017,A/NewBrunswick/RV1342/2017,A/NewBrunswick/RV1342/2017
ARGNode_pSw8IH0Y, , 
ARGNode_S343DOL0,NODE_4,Singleton_wCEbjPjp
ARGNode_LeP6bnkJ, , 
A/Colombia/960/2017,A/Colombia/960/2017,A/Colombia/960/2017
A/Alberta/RV2187/2017,A/Alberta/RV2187/2017,A/Alberta/RV2187/2017
ARGNode_qRs2edkm, , 
ARGNode_OAy8KM8Q,NODE_42,NODE_40
A/Sydney/1046/2017,A/Sydney/1046/2017,A/Sydney/1046/2017
A/Kanagawa/208/2017,A/Kanagawa/208/2017,A/Kanagawa/208/2017
A/Sydney/62/2017,A/Sydney/62/2017,A/Sydney/62/2017
A/Victoria/361/2011,A/Victoria/361/2011,A/Victoria/361/2011
ARGNode_qyBdyKpr, , 
ARGNode_6kaOGs3A,Singleton_sTHjjFnB,NODE_41
ARGNode_bjVTXqu8,NODE_29,RESOLVED_5
ARGNode_MUI85fq2,NODE_53,NODE_50
ARGNode_LBvor0kx,NODE_50,NODE_49
ARGNode_Qrvaz3KI,NODE_37,NODE_23
A/Michigan/229/2017,A/Michigan/229/2017,A/Michigan/229/2017
ARGNode_DjkqRE52, ,NODE_4
ARGNode_JWguvbLw,Singleton_TjUgxcG9,NODE_18
A/Perth/51/2017,A/Perth/51/2017,A/Perth/51/2017
A/SouthAustralia/114/2017,A/SouthAustralia/114/2017,A/SouthAustralia/114/2017
ARGNode_yTQvtgDC,RESOLVED_2,NODE_8
ARGNode_7BEXIauX,NODE_12, 
